[ReparadorMateriales] Inicio DRY-RUN - 2025-09-14 10:07:06
Carpeta sectores: C:\Users\jose.cespedes\Documents\GitHub\dotnet-juego-rpg\MiJuegoRPG\DatosJuego\mapa\SectoresMapa
- 12_9 (12_9.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_0 (13_0.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 13_1 (13_1.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 13_10 (13_10.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_11 (13_11.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_12 (13_12.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 13_13 (13_13.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 13_14 (13_14.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_15 (13_15.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_16 (13_16.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_17 (13_17.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_18 (13_18.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 13_19 (13_19.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 13_2 (13_2.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 13_20 (13_20.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_21 (13_21.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 13_22 (13_22.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_23 (13_23.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_24 (13_24.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_25 (13_25.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 13_26 (13_26.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_27 (13_27.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_28 (13_28.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_29 (13_29.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_3 (13_3.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 13_30 (13_30.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_31 (13_31.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_32 (13_32.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_33 (13_33.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_34 (13_34.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_35 (13_35.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_36 (13_36.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_37 (13_37.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 13_38 (13_38.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_39 (13_39.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_4 (13_4.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 13_40 (13_40.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 13_41 (13_41.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
